molecule_chembl_id,canonical_smiles,standard_value
CHEMBL2360000,Cc1cccc(OCCC(=O)NO)c1,3380.0
CHEMBL4247132,Cc1ccccc1OCCC(=O)NO,6740.0
CHEMBL569423,O=C(CCOc1ccccc1)NO,4180.0
CHEMBL4239124,O=C(COc1ccc([N+](=O)[O-])cc1)NO,62100.0
CHEMBL4239571,O=C(COc1cccc([N+](=O)[O-])c1)NO,94700.0
CHEMBL4249219,O=C(COc1ccccc1[N+](=O)[O-])NO,144300.0
CHEMBL4250127,O=C(COc1cc(F)cc(F)c1)NO,205400.0
CHEMBL4246507,O=C(COc1cc(Cl)cc(Cl)c1)NO,3220.0
CHEMBL4242065,O=C(COc1c(Cl)cccc1Cl)NO,353200.0
CHEMBL4240691,O=C(COc1cc(Cl)ccc1Cl)NO,9020.0
CHEMBL4238560,O=C(COc1cccc(Cl)c1Cl)NO,178700.0
CHEMBL4242735,O=C(COc1ccccc1Cl)NO,78500.0
CHEMBL4245086,O=C(COc1cccc(Cl)c1)NO,10400.0
CHEMBL4248008,O=C(COc1ccc(Cl)cc1)NO,1260.0
CHEMBL4245261,O=C(COc1ccccc1F)NO,121500.0
CHEMBL4250489,O=C(COc1cccc(F)c1)NO,27000.0
CHEMBL4245439,O=C(COc1ccc(F)cc1)NO,18900.0
CHEMBL4245720,O=C(COc1ccc(Br)cc1)NO,5350.0
CHEMBL4239970,Cc1cc(C)cc(OCC(=O)NO)c1,41900.0
CHEMBL4238717,COc1ccc(OCC(=O)NO)cc1,49500.0
CHEMBL4247495,Cc1ccc(OCC(=O)NO)cc1,57100.0
CHEMBL4245159,Cc1cccc(OCC(=O)NO)c1,85100.0
CHEMBL4246997,Cc1ccccc1OCC(=O)NO,153600.0
CHEMBL569422,O=C(COc1ccccc1)NO,131200.0
CHEMBL4590676,O=C(CC(O)c1cc(Cl)ccc1OCc1ccccc1)NO,150.0
CHEMBL4568283,CN(O)C(=O)CC(O)c1cc(Cl)ccc1OCc1ccccc1,26200.0
CHEMBL4469655,CN(O)C(=O)CC(O)c1cc(Cl)ccc1O,30500.0
CHEMBL4447735,COc1ccc(C(O)CC(=O)N(C)O)cc1OC,405000.0
CHEMBL4476469,COc1cc(C(O)CC(=O)N(C)O)ccc1OCc1ccccc1,258000.0
CHEMBL4531553,CN(O)C(=O)CC(O)c1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,376000.0
CHEMBL4530689,CN(O)C(=O)CC(O)c1ccc(Cl)c(Cl)c1,90400.0
CHEMBL4579243,CN(O)C(=O)CC(O)c1c(Cl)cccc1Cl,77900.0
CHEMBL4545901,O=C(CC(O)c1ccc(Cl)cc1Cl)NO,13400.0
CHEMBL4472402,CN(O)C(=O)CC(O)c1ccc(Cl)cc1Cl,367000.0
CHEMBL4440368,CN(O)C(=O)CC(O)c1cccc(Cl)c1Cl,95800.0
CHEMBL4534392,CN(O)C(=O)CC(O)c1ccc(OCc2ccccc2)cc1,198000.0
CHEMBL4437504,CN(O)C(=O)CC(O)c1ccc(N(C)C)cc1,287000.0
CHEMBL4454777,COc1ccc(C(O)CC(=O)N(C)O)cc1,328000.0
CHEMBL4461397,CN(O)C(=O)CC(O)c1ccc(Br)cc1,97600.0
CHEMBL4473012,CN(O)C(=O)CC(O)c1ccc(Cl)cc1,87400.0
CHEMBL4439781,CN(O)C(=O)CC(O)c1ccc(F)cc1,77200.0
CHEMBL4535418,COc1cccc(C(O)CC(=O)N(C)O)c1,89200.0
CHEMBL4470787,CN(O)C(=O)CC(O)c1cccc(Br)c1,78200.0
CHEMBL4516908,CN(O)C(=O)CC(O)c1cccc(Cl)c1,48000.0
CHEMBL4585313,CN(O)C(=O)CC(O)c1cccc(F)c1,71200.0
CHEMBL4539763,COc1ccccc1C(O)CC(=O)N(C)O,84000.0
CHEMBL4555761,CN(O)C(=O)CC(O)c1ccccc1Cl,56600.0
CHEMBL1219,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,290.0
CHEMBL3655716,O=c1[nH][se]c2ccccc12,48600.0
CHEMBL51085,O=c1c2ccccc2[se]n1-c1ccccc1,69000.0
CHEMBL4469439,O=c1c2ccccc2[se]n1[C@H](CO)c1ccccc1,79000.0
CHEMBL4592440,CC(C)[C@@H](C(=O)O)n1[se]c2ccccc2c1=O,186000.0
CHEMBL4463967,CC(C)C[C@@H](C(=O)O)n1[se]c2ccccc2c1=O,301000.0
CHEMBL4520558,O=C(O)C[C@@H](C(=O)O)n1[se]c2ccccc2c1=O,388000.0
CHEMBL4444989,O=C(O)CCCn1[se]c2ccccc2c1=O,103000.0
CHEMBL4089739,COC(=O)Cn1[se]c2ccccc2c1=O,107700.0
CHEMBL4563587,COC(=O)[C@H](C)n1[se]c2ccccc2c1=O,75000.0
CHEMBL4563580,CCC(C)[C@@H](C(=O)OC)n1[se]c2ccccc2c1=O,96000.0
CHEMBL4444060,COC(=O)[C@H](CC(C)C)n1[se]c2ccccc2c1=O,127000.0
